,coef
year_1972,0.0
year_1973,0.0007588002866073737
year_1974,-0.0
year_1975,0.0024141057495735796
year_1976,-0.0043026607894272395
year_1977,0.003590860445539493
year_1978,0.00026522913128906026
year_1979,-0.0
year_1980,-0.0035760547648405997
year_1981,-0.0008926504008526068
year_1982,-0.003665879679457294
year_1983,-0.020364988154895396
year_1984,-0.006064222319978698
year_1985,-0.01852877953736655
year_1986,-0.010326979439436152
year_1987,-0.006150360190311014
year_1988,-0.007592197612191011
year_1989,-0.006685574768129317
year_1990,-0.008719578897406377
year_1991,-0.004318602004917367
year_1992,-0.004822564668641407
year_1993,-0.008077452065114817
year_1994,-0.007580121283953436
year_1995,0.0
year_1996,-0.0020517994154699575
year_1997,-0.010111801676687456
year_1998,-0.004199943710287158
year_1999,-0.019555752095138452
year_2000,-0.02552676469224318
year_2001,-0.013878569975764523
year_2002,-0.022678113410885055
year_2003,-0.0348204825278116
year_2004,-0.03390057543369709
year_2005,-0.03556069088491806
year_2006,-0.025287825116768588
year_2007,-0.0259169932606842
year_2008,-0.018277452703304994
year_2009,-0.0
year_2010,0.010859921542414974
year_2011,0.020632719140827684
year_2012,0.03340951870832109
year_2013,0.03903433432595603
year_2014,0.046467042336997486
year_2015,0.06175104849213745
year_2016,0.0730594074674289
year_2017,0.0748907430861899
year_2018,0.062110720771717046
year_2019,0.04206442522248924
year_2020,0.027723918357724205
year_2021,0.008541911870430654
year_2022,0.012313769869821349
manufacturer_acura,-0.015993066805181817
manufacturer_alfa_romeo,0.0004421401647193553
manufacturer_aston_martin,-0.0005256937654891535
manufacturer_audi,0.011418722165433106
manufacturer_bmw,0.0032281785718802874
manufacturer_buick,-0.0036839944675780257
manufacturer_cadillac,0.004933425127969038
manufacturer_chevrolet,0.02148321274259337
manufacturer_chrysler,-0.01409915219035764
manufacturer_dodge,0.0022687129433399886
manufacturer_fiat,-0.005835733000572496
manufacturer_ford,0.021023856346729142
manufacturer_gmc,-0.0
manufacturer_honda,-0.02978189877644306
manufacturer_hyundai,-0.02810752622929873
manufacturer_infiniti,0.00020362788577835342
manufacturer_jaguar,0.004520503608490034
manufacturer_jeep,0.0
manufacturer_kia,-0.012702130710905405
manufacturer_land_rover,0.003034419632606859
manufacturer_lexus,-0.0
manufacturer_lincoln,-0.0027587789011046353
manufacturer_mazda,-0.009499244623618168
manufacturer_mercedes_benz,0.009027994971403516
manufacturer_mercury,-0.01876421573109439
manufacturer_mini,-0.00525220105703966
manufacturer_mitsubishi,0.0031237181098839567
manufacturer_nissan,-0.017836345739646115
manufacturer_pontiac,-0.012913795071034075
manufacturer_porsche,0.008024047375440494
manufacturer_ram,0.040799229565375295
manufacturer_rover,0.0013066247568510687
manufacturer_saturn,-0.0055816056907660614
manufacturer_subaru,0.008343765995352309
manufacturer_toyota,-0.014286763602358886
manufacturer_volkswagen,-0.029636180045034988
manufacturer_volvo,-6.749708771462337e-05
condition_excellent,0.0
condition_fair,-0.11688998853809987
condition_good,-0.07629960026112657
condition_like_new,0.006310222860508249
condition_new,0.0
condition_salvage,-0.02065068614718825
cylinders_10_cylinders,0.007154105066300999
cylinders_12_cylinders,0.007364435351474576
cylinders_3_cylinders,0.002277368996801353
cylinders_4_cylinders,-0.0
cylinders_5_cylinders,0.003921651723160221
cylinders_6_cylinders,0.01534010047465644
cylinders_8_cylinders,-0.0012493424984266705
cylinders_other,-0.0
fuel_None,0.0
fuel_diesel,0.06590894357260135
fuel_electric,-0.0015441555858068338
fuel_gas,-0.00940531639684692
fuel_hybrid,-0.0
fuel_other,-0.003744606899398867
title_status_None,2.225580368586667e-06
title_status_clean,-0.0
title_status_lien,0.009539109917526283
title_status_missing,-0.010206123697951661
title_status_parts_only,-0.0027057082645730655
title_status_rebuilt,0.020479585607101555
title_status_salvage,-0.004448954037943223
transmission_automatic,0.0
transmission_manual,-0.007179202556193242
transmission_other,0.0
drive_4wd,0.024993737147024343
drive_fwd,-0.12372985814630469
drive_rwd,0.0
size_compact,-0.03591489946233828
size_full_size,-0.0
size_mid_size,0.0008205268417636613
size_sub_compact,-0.005245414679115445
type_None,0.002102363979698638
type_SUV,0.0
type_bus,7.380361754738386e-05
type_convertible,0.006524238824371759
type_coupe,-0.012241874014822665
type_hatchback,-0.010758850616740685
type_mini-van,-0.006103502481297771
type_offroad,0.003532286105826493
type_other,-0.00040781292303982585
type_pickup,0.032713702832866565
type_sedan,-0.06565788004785446
type_truck,0.054052340275310744
type_van,0.001751477406732655
type_wagon,-0.0059397565769072035
paint_color_black,0.0013921454665133152
paint_color_blue,0.006405752262429528
paint_color_brown,-0.0173499569636708
paint_color_custom,-0.0004144922506561332
paint_color_green,-0.05666209458412265
paint_color_grey,0.0
paint_color_orange,-0.008316035036628628
paint_color_purple,-0.004725068218286244
paint_color_red,-0.013349476374956174
paint_color_silver,-0.02274236569610394
paint_color_white,0.02060959373021657
paint_color_yellow,-0.0
