,pattern,alpha,train_rmse,test_rmse
169,PATT0000057,0.01,0.7046033216937786,0.7022186896812657
170,PATT0000057,0.1,0.7192754198026071,0.7156266010552946
171,PATT0000058,0.001,0.7771103965903289,0.7722650868927401
172,PATT0000058,0.01,0.7776036285836712,0.7729723271857805
173,PATT0000058,0.1,0.7895905187851072,0.7846273106623487
174,PATT0000059,0.001,0.7774560636257439,0.7716952373930249
175,PATT0000059,0.01,0.7777460725960841,0.7722701256302228
176,PATT0000059,0.1,0.7895905187851072,0.7846273106623487
177,PATT0000060,0.001,0.7443940088525131,0.739767923062006
178,PATT0000060,0.01,0.7446533936740285,0.7400813331370627
179,PATT0000060,0.1,0.7525730862253919,0.7479060515613275
180,PATT0000061,0.001,0.777008058500717,0.771785815307457
181,PATT0000061,0.01,0.7773336521471262,0.7723610233129148
182,PATT0000061,0.1,0.7886926716572863,0.7836860762261073
183,PATT0000062,0.001,0.7549810737091276,0.7497526529807421
184,PATT0000062,0.01,0.755798144386353,0.7508154877986027
185,PATT0000062,0.1,0.7771252453893498,0.7717449538136505
186,PATT0000063,0.001,0.7577290470186472,0.7537231142571239
187,PATT0000063,0.01,0.7584522251580326,0.7541945440152767
188,PATT0000063,0.1,0.7825152166096001,0.7778604986777556
189,PATT0000064,0.001,0.6882998383900596,0.6820596658315043
190,PATT0000064,0.01,0.688463377778308,0.682321195247432
191,PATT0000064,0.1,0.7021437265565335,0.6968513841267958
192,PATT0000065,0.001,0.7598395614087585,0.7535369798266849
193,PATT0000065,0.01,0.7603246807139269,0.7540120826047272
194,PATT0000065,0.1,0.771018094641148,0.7651349664674044
195,PATT0000066,0.001,0.7599331790574229,0.7524993875569961
196,PATT0000066,0.01,0.76016695650255,0.7528701606781061
197,PATT0000066,0.1,0.771018094641148,0.7651349664674044
198,PATT0000067,0.001,0.7328678834850996,0.7279511948839107
199,PATT0000067,0.01,0.7330288286467821,0.7280372903881339
200,PATT0000067,0.1,0.7438017005361387,0.7388775178621471
201,PATT0000068,0.001,0.7577729345919445,0.7508492361855312
202,PATT0000068,0.01,0.75804376841872,0.7511947488031693
203,PATT0000068,0.1,0.770066546217111,0.7641677480018311
204,PATT0000069,0.001,0.7451239290190376,0.7388613424126235
